3498451;1956900;1785268;1824200;1730316;1840474;1800878;1753075;1942500;1815500;1958700;1817092;1889800;1750960;1730094;1891384;1896600;1630301;1813900;1637748;1776122;1832689;1807400;1618860;1686184;1867415,84;1618860
1608946;1952800;1809700;1791029;1674044;1787100;1836091;1783308;1914600;1827300;1892500;1623705;1778000;1709460;1624280;1898200;1882500;1622258;1820000;1659720;1911631;1921203;1998800;1769220;1791847;1795529,68;1608946
1844291;1990100;1813002;2023100;1850040;1941100;2018520;2013557;2217389;2125300;2150300;1873118;2027800;2071800;1899439;2198800;2064898;1748945;1918400;1685682;1816022;1754043;1961100;1708022;1848656;1942536,96;1685682
1661403;1830800;1702629;1808370;1649656;1782889;1750967;1758189;1860923;1800900;1941000;1740641;1802200;1764123;1626822;1850471;1834406;1683530;1812400;1579538;1694762;1765892;1846200;1580555;1698766;1753121,28;1579538
4658165;5121900;4968473;3188310;4569868;2438343;1680066;1749652;1441434;1934816;2099037;2069500;1548210;1762066; ;;;;;;;;;;;2802131,429;1441434
1533234;2224200;1551164;2169700;1545579;1730606;1922232;1720529;2290526;1967673;2224304;1476731;1921400;1977302;1644078;1976305;2151812;1632139;1550461;1433338;2195807;2074321;2057300;1451526;1750726;1846919,72;1433338
1486596;1897374;1387203;1981300;1540721;1547075;1960063;1561609;1960450;1877057;2121765;1644860;2087900;1857866;1928064;2110576;2067574;1459109;1458673;1376051;1944344;1882584;1794664;1381381;1663794;1759146,12;1376051
1242267;2144810;2047160;1958897;1372288;1947841;1557039;1564717;1892963;1917025;2288300;1506269;2061600;1514649;1911667;1897074;1812794;1419369;1903409;1363037;1951747;1700400;1848471;1420610;1716208;1758424,44;1242267
1451829;2065491;1888542;1891856;1468511;1905380;1495887;1687737;1742112;1699538;1881893;1670620;1900775;1718038;1794028;1852829;1855814;1390626;1964874;1414158;1935305;1765549;1891341;1506917;1800516;1745606,64;1390626
1864219;1930344;2096485;1801768;1517724;1812144;1691358;2032420;1851524;1718191;2020607;1596532;1819708;1944575;1740436;1736405;1754888;1395435;1595586;1310902;1853035;1863464;1944572;1445549;1634623;1758899,76;1310902
1892679;2064859;1505071;1859442;1675115;1756293;1782924;1603040;1848668;1828233;1928795;1456311;2000969;1830284;1367463;2007249;1857250;1496765;1697671;1056685;1949619;1823018;1881237;1490420;1712541;1734904,04;1056685
1793525;1847951;1960962;1952108;1786452;1682332;2006463;1691717;1879860;1809464;1998232;1879170;1949712;1735354;1949115;1891351;1739337;1453150;1928112;1881419;1897218;2125966;1853531;1411054;1752860;1834256,6;1411054
1954675;1810853;1873440;1633411;1683071;1800920;1878419;1913165;1837297;1834512;2038469;1753134;1811489;1731908;2002173;1776936;1787513;1372582;1926589;1722158;1856679;2031858;1789638;1405223;1722000;1797924,48;1372582
1842231;1818875;1984063;1815502;1658944;1842171;1671828;1846548;1804740;1674723;2037720;1805786;2009742;1777936;2080071;1927821;1820159;1485291;1747183;1412956;1956163;2005807;1843934;1565861;1719796;1806234,04;1412956
1820169;1640698;2040979;1894459;1760584;2028766;1806748;1922318;1806289;1758384;1959777;1792348;2127526;1640045;1917150;1778369;1853790;1563460;1740691;1405312;1978483;1890253;1872977;1545632;1545301;1803620,32;1405312
1853499;1730423;1879111;1905367;1711153;1981877;1851461;1543701;1786784;1507516;2105934;1853489;2121700;1836863;2082291;1983813;2068016;1523727;1774594;1444884;2079806;1782813;1920576;1474480;1560848;1814589,04;1444884
1813159;1977607;2035225;1914911;1626658;1895233;1755458;1814992;1978925;1797361;1859190;1879566;1916968;1746054;2054052;1943268;1883960;1460905;1778205;1782873;2033777;1747670;1916087;1340448;1871042;1832943,76;1340448
1802625;2052483;1831026;1800179;1668082;1812202;1820531;1804241;1880901;1768482;1823146;1665222;2061200;1646216;1914432;1636900;1854597;1381688;1888237;1783287;2591;1818304;1917523;1808437;1701616;1725765,92;2591
1824521;1819273;1926144;1753380;1740188;1872447;1975456;1809522;1881811;1587514;2057145;1878238;1966900;1871554;1809156;1838037;1824824;1425635;1712443;1842905;1799425;1818279;1839617;1852407;1503028;1809193,96;1425635
1735065;1846822;1972298;1728270;1984274;1812919;1860714;1663564;1844485;1682767;1957158;1823904;1772935;1716475;1728037;1942797;1811581;1538085;1804858;1669252;1913543;1779125;1797447;1766555;1647852;1792031,28;1538085
1778198;1642104;2185310;1672743;1426341;1731826;1797026;1690476;1884188;1882811;1883633;1747232;2078800;1766476;1908299;1812612;2011777;1552513;1979439;1725071;1943779;1749756;1956233;1764329;1644732;1808628,16;1426341
1866266;1724563;2115121;1953461;1292752;1631337;1799564;1691177;1939976;1809633;1847577;1878395;1828031;1876641;1981272;1819713;1801988;1476192;1848855;1354992;1910887;1937243;1870527;1691853;1728813;1787073,16;1292752
1745747;1726275;2112890;1777671;1515843;1835910;1957669;1673066;1929788;1851012;1852217;1707238;1891176;1864514;1988135;1932234;1918730;1403804;1842943;1418944;1863153;1943889;1817579;1786080;1601799;1798332,24;1403804
1787579;1904702;1965491;2158130;1778663;2016855;1725368;1745365;1940278;1564888;1881715;1801226;1823909;1710838;1929388;1766960;2056806;1465994;1816280;2047882;1868291;1965776;1880638;2524;1784989;1775621,4;2524
1937887;1752061;1790553;2138849;1796696;1916231;1717530;1672444;1840089;1649053;1943811;1869377;1820731;1681928;1810345;2018880;1849233;1446695;1615002;1761455;1775171;1806006;2081176;1669917;1770695;1805272,6;1446695
1809200;1661488;2107380;1877013;1677102;1669743;1633875;1712361;1869064;1989033;1965670;1739353;1852661;1804658;1922463;1992486;2037029;1342426;1671001;1309472;1966984;1933880;2013151;1742388;1706008;1800235,56;1309472
1972577;1619570;2084008;1869765;1818981;1724900;1604105;1894291;1852906;1695464;1884889;1928123;1976319;1860032;1956484;1897969;1960605;1557657;1707018;1663595;1934666;1758381;1839160;1942408;1644887;1825950,4;1557657
1908791;1845813;1765076;1763310;1857058;1860882;1876461;1789091;1836920;1718283;1993489;1643118;2208100;1956393;2034095;1923955;1729081;1707568;1788710;1825134;1869268;1786810;1752864;1846158;1708816;1839809,76;1643118
1776249;1823405;1973505;1751795;1649613;1740490;1816004;1682486;1940346;1696068;1930360;1786833;2066600;1763174;1957623;1735759;1809548;1589584;1798458;1395591;1873844;2085771;1694213;1785525;1531838;1786187,28;1395591
1684279;1907918;1919134;1836464;1673155;1673232;1648410;1687489;1754867;1747109;1943731;1905154;2023406;1418962;1912166;1752651;2019100;1460034;1700341;1516945;1862305;1999974;1923092;1834294;1602954;1776286,64;1418962
1728394;1747261;1961756;1785420;1633039;1785601;1697277;1910158;1848997;1818276;1879885;1857495;1972300;1735963;1939149;1861392;1783772;1773625;1791843;1408727;1710434;2013441;1847762;1995736;1984815;1818900,72;1408727
1767061;1812600;2037235;1762626;1563092;1886639;1770003;1741262;1933332;1677878;1925056;1711311;1968900;1833127;1890640;1839877;1870518;1610418;2059434;1451054;1857770;1740841;1886997;1770492;1722495;1803626,32;1451054
1930332;1849497;2015735;1760602;1724320;1942819;1849486;1803702;1984717;1929864;1844115;1933788;1886656;1800218;2094890;1905325;1747197;1424534;1990566;1541722;1921668;1955138;1755049;1708761;1530518;1833248,76;1424534
1792671;1938809;2054655;1784751;1772605;1830083;1604555;1740693;1927033;1743808;2037812;1804299;1940797;1776877;1798303;2047145;1732100;1493380;1958123;1525026;1908584;1988040;1829780;1680933;1802247;1820524,36;1493380
1808825;1831223;1884967;1657892;1927432;1768530;1727105;2082837;1925285;1755568;2009011;1796792;2178248;1647313;1968722;1892844;2001124;1494281;1795887;1545576;1819685;1957165;1750230;1720578;1672333;1824778,12;1494281
1659943;1797216;2233058;1807059;1831798;1746692;1716379;1630661;1802503;1776526;1913564;1749040;1547621;1721172;1795883;1830161;2075077;1626095;1852200;1464339;1810003;1940163;1820918;1546998;1623540;1772744,36;1464339
1833952;1793945;1869411;1766815;1784460;1772506;1762676;1795979;1837513;1534622;1847618;1714808;1438351;1690479;1993209;1977754;1913728;1685726;1880674;1450777;1936066;1941385;1932909;1702626;1714529;1782900,72;1438351
1909094;1812577;1827713;1854403;1802196;1994277;1757236;1751335;1805702;1872461;2038281;1674433;1837288;1790347;1981691;1952430;2025379;1430594;1888495;1409935;1780167;1778932;1826036;1827167;1671047;1811968,64;1409935
2013580;1808724;2302657;1670528;1686705;2007203;1888814;1823917;1851001;1788095;2069179;1718479;1821308;1905324;1833837;1829604;1928174;1527339;1710983;1384396;1746738;1814506;1922531;1846609;1623872;1820964,12;1384396
1878706;2013955;2015455;1849616;1685565;2141941;1920694;1845963;1896094;1848250;1877432;1735429;1859541;1713652;2120586;1804825;1941050;1622488;1615560;1324003;1824611;1914199;2044502;1915637;1592693;1840097,88;1324003
1937488;1948659;1950871;1816586;1902969;2152023;1895617;1799860;1935539;1693884;1907677;1744680;1642964;1787302;2043135;1844155;2005823;1564946;1718741;1406244;1808986;1787534;1811264;1774423;1661564;1821717,36;1406244
1787927;1890231;1997331;1730974;1838369;1821217;1927083;1665801;1889128;1762949;1897891;1804353;2046839;1772430;1895459;1919346;2115060;1664037;1761719;1412780;1955480;1837699;1867807;1407126;1704676;1814948,48;1407126
1708044;1756286;2032492;1913599;1754434;1910122;1718520;1778230;2009074;1755401;2160487;1799569;1768359;1921355;1812171;1819477;1790478;1459218;1965810;1386721;2002554;1973780;1963380;1313135;1688044;1806429,6;1313135
1845201;1842831;2031173;1591653;1767452;1876617;1762214;1679492;1848363;1631304;1921494;1874526;1867618;1751341;2008041;1900639;1797506;1383668;1829488;1833603;1928987;1772310;1944201;1431424;1738422;1794382,72;1383668
1827575;1907824;1878211;1784622;1858613;1999027;1966549;1717198;1948020;1927918;1865560;1882153;1765244;1703062;2070035;1885282;1757849;1417198;1854478;1605635;1955429;2060972;1962081;1872309;1770933;1849751,08;1417198
1850034;1955408;1818240;1709756;1802687;1816309;1867878;1766200;1782157;1620106;1698782;1816249;1634776;1691061;1973943;1773396;1906105;1658353;1896113;1286800;1951526;1751673;1901115;1701544;1816313;1777860,96;1286800
1812443;1832038;1824198;1701204;1668113;1630971;1995240;1450986;1760061;1771502;1802715;1766104;1866764;1805422;2021299;1948284;1991231;1451489;1761594;1257953;1922170;1923450;1831474;1868770;1932439;1783916,56;1257953
1842317;1975259;1939706;1769276;1885222;1673814;1931604;1818402;1743322;1923628;1925027;1746874;1864073;1886488;1838991;1943978;1935298;1732579;1889352;1200615;1969527;1929036;1837598;1800717;1842169;1833794,88;1200615
1691877;1933064;1866245;1746037;1838942;1635502;1851048;1984057;1817329;1573677;1924427;1647138;1633277;1818669;1851947;1974997;1850805;1416652;1869247;1417125;1787229;1795699;1918128;1468205;1937363;1769947,44;1416652
1838936;1701166;2166651;1740334;1828569;1683832;1693517;1651100;1921168;1637307;1963583;1923790;1939518;1673787;1911936;1878002;1818302;1383907;1665896;1420106;1776840;1974617;1749927;1456769;1742594;1765686,16;1383907
1789367;1986028;1892431;1785761;1860076;1793804;1728279;1687861;1820736;2036683;1901016;1766091;1616236;1739679;1962435;1804547;2109253;1513160;1765062;1835414;1820519;2062642;1858297;1422329;1906238;1818557,76;1422329
1800235;1798011;1987264;2008559;1838592;1941679;1980606;1533554;1790687;2002099;1881445;1714174;1734249;1679019;1916643;1927839;1922044;1684365;1833347;1404749;1852256;1822576;1871820;1457541;1728328;1804467,24;1404749
1736584;1874516;1818676;1836348;1689929;1873721;1851172;1847377;1960203;1856874;1743009;1738482;1818108;1614101;1833703;1886319;1886313;1526490;1744022;1395275;1903881;1978486;1859559;1405967;1709192;1775532,28;1395275
1844649;1804777;1800209;1833180;1748153;1890709;1871851;1955194;1936854;2613;1988613;2502;1826017;1805457;2143633;1785190;2075923;1736242;1777050;1714034;2017115;1939113;1879139;1449270;1501802;1693171,56;2502
