325209; 329273; 355470; 
312549; 318986; 348810; 
304050; 337777; 341160; 
348451; 320670; 326689; 
318238; 321300; 316107; 
311908; 317040; 292243; 
307228; 315270; 303012; 
315450; 321330; 302503; 
289053; 310980; 296982; 
303857; 309600; 293693; 
297239; 312570; 305724; 
336780; 353520; 287765; 
298099; 310680; 288317; 
300257; 308220; 300581; 
340411; 321390; 346050; 
359734; 365063; 326010; 
360120; 311160; 313290; 
319830; 309540; 299386; 
310350; 297927; 298619; 
320105; 313740; 297433; 
301544; 304666; 311190; 
302607; 303439; 299943; 
316140; 297660; 286581; 
323130; 319770; 300080; 
319380; 321510; 289028; 
316153; 322500; 309591; 
316230; 318630; 321870; 
321390; 319080; 300938; 
366420; 317502; 392670; 
315549; 278508; 314370; 309202; 316410; 
314160; 287542; 315690; 315330; 316500; 
323670; 334858; 343770; 360240; 329100; 
306180; 282585; 302130; 301890; 301560; 
304710; 274468; 303120; 305010; 303030; 
307080; 294535; 302940; 385020; 349020; 
321662; 300745; 298059; 309240; 304800; 
299389; 282194; 313200; 325740; 325590; 
308198; 283251; 303540; 302880; 297675; 
304170; 278599; 302370; 302430; 290171; 
305310; 293465; 295973; 307950; 287636; 
302486; 301699; 294846; 291248; 289409; 
304400; 273357; 283076; 289447; 283437; 
306690; 287422; 299870; 296169; 287677; 
305220; 280085; 249183; 281760; 263812; 
283920; 275519; 256951; 283710; 266402; 
273396; 246191; 239649; 276800; 261885; 
254593; 253485; 273509; 283620; 261196; 
253612; 279870; 245151; 276313; 253884; 
274608; 270185; 264980; 260177; 257845; 
275799; 259767; 274810; 274451; 260395; 
272739; 258917; 260544; 263872; 267034; 
264660; 233703; 258453; 279180; 250771; 
251241; 265690; 271483; 254976; 253859; 
251943; 262260; 254314; 250618; 272192; 
257645; 273718; 247203; 274073; 255383; 
269082; 253387; 255863; 280037; 268971; 
267140; 264726; 268951; 272997; 262993; 
245478; 272495; 240192; 264068; 270011; 
275753; 256147; 251760; 254457; 257512; 
