500000; 430866; 500000; 410834; 334546; 488615; 428371; 402909; 390553; 500000; 500000; 422608; 230174; 481032; 500000; 373232; 500000; 457324; 374701; 396474; 375858; 500000; 238449; 264683; 380418; 
494123; 500000; 500000; 437429; 331579; 487839; 425297; 402678; 401718; 500000; 496956; 437202; 253940; 467747; 496987; 338336; 500000; 417568; 385360; 424215; 382861; 495421; 236985; 249491; 402617; 
481630; 500000; 500000; 403272; 329943; 482817; 460560; 422444; 403468; 500000; 492553; 426852; 228841; 492710; 500000; 342365; 500000; 429989; 436842; 395444; 415022; 495898; 247726; 240419; 404952; 
493256; 500000; 495214; 416834; 274607; 485182; 421499; 378200; 404356; 500000; 495166; 441055; 198604; 481076; 500000; 292956; 495418; 421520; 443409; 370838; 385250; 496066; 242598; 278454; 409780; 
488068; 427298; 500000; 405112; 311337; 485701; 436062; 419261; 401802; 439526; 496048; 435242; 247440; 465348; 500000; 308909; 500000; 429650; 419088; 445824; 377643; 500000; 256207; 314912; 384319; 
500000; 405855; 500000; 416626; 276859; 490598; 422093; 425594; 409925; 401679; 488017; 426466; 250879; 487178; 500000; 370546; 495560; 415564; 426151; 407274; 405755; 489387; 480732; 276292; 391656; 
496629; 415918; 500000; 428895; 296131; 475384; 415895; 398572; 416003; 400720; 500000; 432400; 190124; 463781; 500000; 330815; 500000; 500000; 417641; 380130; 411832; 491704; 485592; 269890; 421830; 
500000; 380214; 497290; 409745; 306386; 488297; 444824; 429656; 435184; 400566; 483086; 422177; 219157; 465977; 500000; 321836; 500000; 414941; 422559; 345946; 421116; 500000; 456689; 254258; 425892; 
495963; 495143; 500000; 412388; 322823; 493312; 450152; 438330; 415859; 390054; 485230; 421000; 248694; 492316; 500000; 282362; 495268; 486227; 429196; 388669; 414299; 500000; 466783; 304156; 388008; 
487257; 491833; 497670; 440303; 310798; 483633; 433278; 399582; 417371; 381513; 477272; 433235; 228747; 468795; 410010; 326912; 495219; 500000; 439992; 385222; 422530; 486723; 479802; 276368; 372316; 
